variant,kind,s,phi_link,meanB_loop,meanB_farhalf,loop_len
k2r,link,4.3829,-0.582444,0.000540411,2.66312e-05,27.5389
k2r,ctrl,4.3829,-5.49277e-07,0.000112673,2.06334e-05,27.5389
k2r,link,4.9966,-0.582444,0.000471401,1.79025e-05,31.3943
k2r,ctrl,4.9966,-6.23561e-07,9.91826e-05,1.46485e-05,31.3943
k2r,link,5.6961,-0.582444,0.000411837,1.20457e-05,35.7895
k2r,ctrl,5.6961,-6.89621e-07,8.72013e-05,1.02951e-05,35.7895
k2r,link,6.4935,-0.582444,0.000360018,8.1108e-06,40.8
k2r,ctrl,6.4935,-7.47604e-07,7.66016e-05,7.17556e-06,40.8
k2r,link,7.4026,-0.582444,0.0003149,5.46429e-06,46.512
k2r,ctrl,7.4026,-7.98003e-07,6.72504e-05,4.96756e-06,46.512
k2r,link,8.4390,-0.582445,0.000275717,3.68291e-06,53.0237
k2r,ctrl,8.4390,-8.41493e-07,5.90171e-05,3.42032e-06,53.0237
k2r,link,9.6204,-0.582445,0.000241673,2.48308e-06,60.447
k2r,ctrl,9.6204,-8.78822e-07,5.17783e-05,2.3448e-06,60.447
k2r,link,10.9673,-0.582445,0.000211623,1.67457e-06,68.9096
k2r,ctrl,10.9673,-9.10743e-07,4.54198e-05,1.60197e-06,68.9096
k2r,link,12.5027,-0.582445,0.000184789,1.12954e-06,78.557
k2r,ctrl,12.5027,-9.37969e-07,3.98383e-05,1.09151e-06,78.557
k2r,link,14.2531,-0.582445,0.000162934,7.62017e-07,89.5549
k2r,ctrl,14.2531,-9.61156e-07,3.49408e-05,7.42137e-07,89.5549
k2r,link,16.2485,-0.582445,0.000141393,5.14138e-07,102.093
k2r,ctrl,16.2485,-9.8089e-07,3.06447e-05,5.0376e-07,102.093
